,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t145,-0.08092783,0.9279447,-0.20602807,10.684042,22.932688,-1.497715,0.055509556,9.66301,0.6888435,0.7617447,-0.4931532,-0.14811365,0.7403623,-0.13584098,-0.7147455,45.435,0.004267443,0.6456403,-0.5126114,14.246837,-0.34337768,1.6907829,-0.48875085
t215,-0.08084426,0.93097806,-0.21110536,10.86829,22.93961,-1.4932503,0.057571974,9.809931,0.69732964,0.7651255,-0.49412912,-0.14824794,0.7178597,-0.13596855,-0.7196024,45.587414,-0.00022217925,0.648931,-0.5162863,14.217344,-0.34289166,1.6899616,-0.48826718
t216,-0.080895394,0.93155503,-0.21102142,10.872643,22.937191,-1.4932231,0.057558514,9.809575,0.6974291,0.765123,-0.4942635,-0.1483418,0.7179941,-0.1359723,-0.7203314,45.58576,-0.0001597819,0.6494529,-0.51633793,14.217527,-0.34299546,1.6897336,-0.48813513
t194,-0.0808719,0.9122069,-0.21167992,10.8991785,22.96508,-1.4973307,0.05829359,9.826118,0.69700086,0.7640331,-0.49065122,-0.14812265,0.71390593,-0.13711853,-0.72464293,45.54608,-0.00016196167,0.6485655,-0.5156773,14.176288,-0.34431908,1.690943,-0.48915452
t195,-0.080892295,0.9307638,-0.21141873,10.90172,22.970957,-1.4974912,0.05828403,9.815416,0.6977316,0.7637028,-0.49048543,-0.14872712,0.71368456,-0.13713501,-0.72484416,45.5516,-5.5980363e-06,0.64853644,-0.51541907,14.178492,-0.34416178,1.6904776,-0.4891522
t199,-0.080953114,0.93837065,-0.21186818,10.915003,22.967197,-1.4964521,0.058561917,9.836418,0.6982362,0.7634603,-0.49086267,-0.1481082,0.7095712,-0.13702187,-0.72744507,45.544155,-0.0001463686,0.64744794,-0.5155256,14.1502495,-0.34425688,1.6892264,-0.4898008
t200,-0.08094456,0.94187635,-0.21185932,10.913204,22.962639,-1.4974403,0.058578894,9.835582,0.69768614,0.7635672,-0.49086186,-0.1485268,0.7122318,-0.13696046,-0.7282209,45.54805,-7.337785e-05,0.6483477,-0.51569414,14.159082,-0.34392884,1.6898572,-0.48985404
t154,-0.07229291,2.5320039,-0.2414959,11.887608,21.29879,-1.3415129,0.07922644,10.434591,0.73608553,0.695888,-0.46321723,-0.16593485,0.6639752,-0.12557694,-0.80554664,44.533104,1.5480652,0.649881,-0.5396329,13.735931,-0.3085078,1.5328894,-0.4547373
t60,-0.03874237,8.363312,-0.33127084,14.667082,14.510288,-0.74860513,0.15111478,11.93871,0.82973975,0.42870507,-0.363424,-0.23327759,0.5647892,-0.079582766,-1.0694844,39.610764,7.4910874,0.66399205,-0.6097098,12.318091,-0.16965105,0.94289064,-0.32377237
t50,-0.04920148,6.116878,-0.28313154,12.99115,16.633947,-0.9663538,0.119250156,10.833158,0.75489706,0.5222069,-0.40511808,-0.20791246,0.6646843,-0.09364932,-0.941563,40.699,5.299199,0.66854405,-0.5707551,13.044486,-0.21613353,1.1636368,-0.37222424
