,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t49,-4.477622,5.6642895,5.7284074,4.788498,4.165224,6.3521485,3.8605475,7.522527,3.2757215,6.0607505,2.4416513,5.7399406,2.988683,6.09142,4.498268,6.1458964,6.66472,3.5497944
t50,12.099568,3.2879193,3.6369016,2.7602332,5.123616,5.5468864,4.010324,6.734184,5.3138165,4.334613,2.6941092,2.308518,1.752615,5.9085164,3.7600613,6.376032,6.204018,7.2295313
t51,6.768444,-1.674243,5.798153,2.9749417,9.826426,7.782045,3.5426831,6.409938,2.988774,8.227076,2.3994594,6.2543545,4.41285,6.1135674,3.6453104,4.4293995,3.820285,-2.2553756
t52,12.0547495,3.3607512,3.8894753,2.9461331,5.2379885,5.605488,4.160492,6.7399635,5.337722,4.2044334,2.677451,2.442797,1.7073772,5.9117393,3.860879,6.4144626,6.140467,7.286475
t53,12.111747,3.3189538,3.9331512,3.0125508,5.233266,5.6700974,4.223188,6.815256,5.278627,4.1140223,2.6128929,2.4940693,1.8068261,5.9670124,3.9420834,6.4735785,6.1137767,7.248265
t54,6.827041,-1.8032265,5.720679,3.0394964,9.635971,7.805171,3.488554,6.468189,3.0375807,8.270502,2.3425775,6.335046,4.216454,6.2552266,3.7093496,4.486861,3.8334723,-2.2884803
t55,-4.5303555,5.622478,5.9297915,4.7567453,4.1515937,6.456085,3.9427974,7.4880476,3.1070368,6.1100063,2.309706,5.7929773,3.0674202,6.087629,4.4018693,6.165593,6.5911083,3.4861372
t56,6.80282,-1.8074874,5.7484403,3.0062373,9.464493,7.788983,3.4489827,6.5899377,3.0526426,8.151578,2.2560244,6.3099585,4.0647554,6.356471,3.7639549,4.5687833,3.6730366,-2.2853484
t57,-4.652826,5.9073725,5.5425706,5.1677985,3.9527502,6.180838,3.834459,7.4131517,3.6496162,6.3455787,2.8029847,5.4052896,2.986713,6.282263,5.054097,5.786306,6.7331533,3.5657825
t58,-4.4462223,5.605938,5.684005,4.7410765,4.2221575,6.397463,3.8281126,7.5919905,3.329989,5.9965105,2.4793544,5.7935343,2.9132347,6.0936513,4.453768,6.2289243,6.654737,3.5430136
t59,6.81031,-1.57879,5.7626767,2.9192,9.812161,7.79144,3.5822988,6.4298077,2.974212,8.143555,2.3712356,6.221523,4.4351354,6.11189,3.6180165,4.4550896,3.7859218,-2.3258252
t60,10.574648,5.2491145,9.539593,4.040783,5.3737297,6.634113,4.710659,6.351715,2.6906579,4.5418596,3.3279603,5.2253675,1.6616863,3.5192506,6.7074876,6.053863,5.0381093,4.6731324
t61,6.8231077,-1.8850724,5.6912084,3.0524542,9.545792,7.81068,3.4685695,6.4759827,3.052763,8.31136,2.273114,6.412522,4.1279526,6.292409,3.7365,4.5391107,3.8553534,-2.2915776
t62,6.8214965,-1.6796277,5.73293,3.0335658,9.754977,7.8570538,3.5768175,6.4499183,3.0514386,8.249377,2.4101658,6.2932043,4.344358,6.166724,3.625634,4.4424324,3.8670173,-2.2471836
t63,12.254987,3.2914321,3.0179548,2.3423007,4.9956436,5.286688,3.6083474,6.6389585,5.2216134,4.6864624,2.7588394,1.965105,1.8168625,6.004343,3.4610457,6.181609,6.4627132,7.0696077
t64,12.070356,3.2625208,3.6109335,2.7811522,5.0984163,5.523773,3.9947047,6.730719,5.282613,4.3483014,2.7098966,2.288918,1.7913048,5.9080377,3.7413013,6.3547463,6.220253,7.2426734
t65,-4.4694924,5.653526,5.804332,4.7180037,4.199779,6.3831506,3.8563068,7.4858136,3.1559954,6.022223,2.3874624,5.787562,2.9941666,6.078965,4.3935237,6.2032895,6.661281,3.5762508
t66,10.291263,4.6156034,11.09335,4.711631,5.9028244,7.1875563,5.122353,5.327303,2.9588683,5.782434,3.7335067,5.062211,2.0773013,2.4971316,7.305448,5.5415382,5.6245804,4.507447
t67,-4.544454,5.5894256,5.9352818,4.7508454,4.1797233,6.464733,3.9469402,7.513311,3.0559654,6.1025314,2.3051207,5.8465333,3.0325541,6.106166,4.3634534,6.1941705,6.5833254,3.5103772
t68,-4.453243,5.622686,5.890877,4.672997,4.185542,6.4610114,3.870571,7.454856,3.117857,6.0452228,2.3110535,5.8189855,3.0457253,6.0378513,4.3211417,6.2544894,6.637515,3.506292
t69,12.217464,3.2609048,2.9631724,2.3154025,4.99053,5.2818966,3.5639064,6.653767,5.2606688,4.7395573,2.8146102,1.9217256,1.8481879,5.952119,3.4170563,6.148146,6.4691052,7.0627575
t70,10.297749,4.8270946,10.796444,4.592343,5.810324,7.160233,5.027566,5.5705924,3.0375881,5.6413846,3.6312177,5.121795,2.0907333,2.7874877,7.0722966,5.4700274,5.569941,4.274098
t71,10.301929,4.7522984,10.91969,4.6645603,5.86582,7.2172546,5.080442,5.4993186,3.037235,5.695682,3.6765928,5.1124587,2.0971658,2.6848898,7.121225,5.4955115,5.643028,4.3168807
t72,-4.315368,5.9509554,5.4290977,4.9654365,4.0352383,6.073668,3.7036548,7.3653965,3.631679,6.1805654,2.5716515,5.4520526,3.0725923,6.0432954,4.922326,5.762714,6.8396435,3.5797534
t73,10.307059,4.6673145,11.107401,4.726304,5.8570614,7.286217,5.0956936,5.3655543,3.0245492,5.833421,3.806426,5.096907,2.1260421,2.4111583,7.2382703,5.504935,5.7316303,4.449047
t74,10.2356825,4.4975886,11.242798,4.7854967,6.007133,7.373681,5.249112,5.333544,3.0048084,5.8092165,3.9049225,5.131578,2.0801523,2.338603,7.2983155,5.588724,5.826706,4.4564424
t75,12.192259,3.145912,3.8402386,3.17822,5.161556,5.8105125,4.1852427,7.059126,5.371505,4.1110563,2.4940069,2.455701,1.9029993,6.036023,4.02208,6.6077695,5.890189,7.01826
t76,12.090169,3.2448864,3.5319922,2.6872575,5.0597844,5.5040584,3.9366355,6.724672,5.3292527,4.4143,2.7160754,2.2416892,1.7590152,5.870488,3.6960862,6.3491764,6.21706,7.2006474
t77,10.268854,4.5175295,11.169999,4.7259746,5.939801,7.2913,5.1748786,5.317925,2.9793434,5.792961,3.8312721,5.1150675,2.0685873,2.4068906,7.359917,5.5654473,5.737148,4.528363
t78,12.15727,3.2683206,4.0113587,3.2338502,5.2270093,5.7749724,4.2565837,6.9425735,5.336431,4.060119,2.5500164,2.5054915,1.8246833,6.0226626,4.032104,6.5685325,5.94559,7.133843
t79,-4.5640078,5.5442843,5.9614778,4.7131505,4.201091,6.5250916,3.9807546,7.5007324,3.021795,6.115912,2.2842374,5.9138374,3.013307,6.0855827,4.30231,6.253495,6.5453053,3.4599714
t80,-4.8587255,5.4650645,6.39034,4.840213,4.073909,6.7329226,4.361849,7.4561343,2.7092865,6.380879,2.0126197,6.0356417,3.1959932,6.183295,4.3102036,6.1844463,6.265394,3.210223
t81,-4.494108,5.8647556,5.5814414,5.0482907,4.0205054,6.2515583,3.9090443,7.4711313,3.6680002,6.352677,2.6245358,5.4832044,3.0237598,6.096859,5.069841,5.6717415,6.6480227,3.4539595
t82,6.8086805,-1.596548,5.7348824,2.9449656,9.83745,7.7827463,3.610784,6.371499,3.0104167,8.228497,2.44015,6.300473,4.4341507,6.1273293,3.6909688,4.3705873,3.7555923,-2.3373656
