"accepted_species","trait_BM_trend_scaled"
"t203",-0.708064963459602
"t218",-0.618435106903982
"t229",-0.606992499409739
"t230",-0.642242519876344
"t139",-0.688244184541656
"t140",-0.566118267267898
"t197",-0.158168593698562
"t198",0.0284674056694624
"t97",-0.320381602033354
"t98",-0.239524480420083
"t86",-0.430988845824192
"t191",0.26628913075588
"t192",0.420532723668405
"t118",-0.151635036775042
"t221",0.57852726180095
"t222",0.703660463017497
"t149",-0.190320403382315
"t143",0.38648398471594
"t129",0.670804732957277
"t206",0.552201846457254
"t207",0.522280078320627
"t177",0.291546034728724
"t178",0.343673775402291
"t78",-0.209106567851677
"t65",NA
"t92",-0.326833100765401
"t235",-1.21795657688107
"t236",-1.16198407848232
"t126",-0.668499465006587
"t161",-0.526923545178458
"t233",NA
"t234",-0.14419119330001
"t205",-0.310958867252204
"t152",0.409174964608174
"t153",-0.698670836435575
"t201",-0.908952094105745
"t202",-0.933571949803247
"t89",0.0536862357351946
"t57",-0.789258523025884
"t32",-0.0408495211508712
"t33",0.261378555087269
"t27",NA
"t30",0.247497017831809
"t52",0.65979882945428
"t53",0.857174032666925
"t22",0.570826454063322
"t68",-0.356946658997284
"t69",-1.08878904814199
"t150",-1.86618485422608
"t175",-2.01281301465663
"t176",NA
"t167",-1.86188292268031
"t155",-1.94475959278417
"t99",-1.13988836209832
"t181",-0.398431196216601
"t182",-1.02665273349476
"t156",-0.43414110503371
"t109",-0.408038672872091
"t87",-1.19760921419343
"t46",-0.277718461651987
"t24",NA
"t20",0.299157682316879
"t19",1.33616531551137
"t18",0.407533571129785
"t5",-0.374323846794107
"t1",-0.519699050359276
"t2",-0.819832487813977
