,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t63,0.80025274,-0.114051096,-0.09697605,0.026652224,8.406842,-0.26165727,-0.045074914,-0.19028592,4.335565,2.0766704,-1.0759486,8.36181,0.17896336,5.316588,7.2384686
t64,-0.3945057,-0.12366596,2.548088,3.3367095,4.4835525,16.750244,-0.50364846,-0.05091551,-0.062978216,0.2133769,3.0543594,9.811487,0.017978149,3.9848495,-0.26857924
t65,4.7187033,-0.11390669,-0.11184562,4.435875,-0.005951248,2.2400181,-0.046724938,-0.11089632,2.9561205,1.3459195,0.02321541,5.963856,6.4247293,6.6354446,5.841172
t66,4.755928,-0.11331314,-0.113307424,4.436584,-0.004773077,2.2522075,-0.046327945,-0.11269999,2.9880052,1.3444903,0.0037318207,5.960196,6.4298577,6.6074147,5.8418193
t67,6.8122783,-0.15271114,-0.09282659,4.810381,-0.025987972,2.304767,-0.20109953,-0.09909868,4.251788,1.8400722,-0.11186181,8.4597435,7.6494603,8.880287,7.3399096
t68,4.71169,-0.114629254,-0.111954644,4.3992486,-0.0063136215,2.2166376,-0.043098208,-0.108980864,2.9957428,1.3683119,-0.0055258865,6.007948,6.3930583,6.6182003,5.8556433
t69,4.7996144,-0.11387568,-0.11149964,4.3910427,-0.0071160323,2.2774048,-0.04294797,-0.107258186,3.0279083,1.3618263,0.06572065,5.9968176,6.4599886,6.6429973,5.810683
t70,-0.8977447,-0.027104137,26.146719,0.65786946,-0.13641879,6.8942823,-1.8552719,-0.29265556,3.3835812,1.4747962,22.507069,0.034329265,0.5400451,1.936771,-0.27612823
t71,-0.9028419,-0.029025182,26.166132,0.6571813,-0.13524048,6.9162345,-1.8589637,-0.29334885,3.336073,1.4705905,22.515644,0.034032036,0.5438484,1.956233,-0.27776453
t72,-1.0098443,-0.012977796,23.380365,0.52411234,-0.1037953,7.769157,-1.7894083,-0.24697815,1.5043074,0.81607693,20.202227,0.036186684,0.4137334,2.7663019,-0.13190947
t73,-1.0110215,-0.0129945045,23.443565,0.5271262,-0.10409061,7.7829056,-1.795631,-0.24810772,1.5130575,0.81894654,20.287058,0.03652386,0.41471487,2.773879,-0.12941605
t74,-0.034437455,-0.10851278,-0.10754073,0.01311001,9.084909,-0.29034615,-0.004255535,-0.19761279,3.9595437,1.8628312,-1.052811,7.5983686,0.0074702855,4.977974,7.1119895
t75,6.3265276,-0.13323608,-0.09264812,4.771532,0.08759392,2.1080565,-0.1976649,-0.102769524,4.251132,1.6270183,-0.100312434,8.074505,7.401999,8.188726,6.950615
t76,5.9900346,-0.12523063,-0.0928891,4.775249,0.06677924,2.206127,-0.17461286,-0.09763847,4.0431366,1.5246705,-0.065071456,7.5136824,7.3223033,7.827445,6.6618123
